1	440564.8697
68	437015.817
10	424721.4587
7	444205.9213
100	425497.0003
70	459029.48
103	426766.8282
73	459386.3756
104	427859.0893
74	421196.6523
106	430699.8528
76	433863.4744
109	422769.7175
79	430152.4106
110	419791.9531
8	435265.85
112	411985.1736
80	429077.1498
13	431391.9708
82	440759.7715
14	434052.3032
85	448410.1895
16	412140.7233
86	419487.1167
19	395892.9758
88	391577.9075
2	391144.0792
91	368772.6735
20	408267.2841
92	413704.1102
22	391275.9632
94	418330.461
25	359953.6195
97	420746.8263
26	391368.3597
98	422467.8193
28	354123.1771
31	339825.8685
32	359615.8274
34	348329.1828
37	366199.6715
38	362733.6798
4	352364.2658
40	351234.6654
43	375411.9259
44	397768.0744
46	357695.7692
49	395530.9773
50	385227.92
52	364042.0511
55	395418.4295
56	390329.6979
58	402259.6753
61	402026.3105
62	405551.7205
64	405624.5832
67	407425.3403
