1995,732.6731761604547
1996,732.8531776964664
1997,732.7656173765658
1998,732.9689880520104
1999,733.1148233145475
2000,732.7098568350077
2001,733.0117328703402
2002,732.3576927781105
2003,733.5100280016661
2004,732.8839421331882
2005,733.089235585928
2006,732.8795049548148
2007,733.0973704129458
2008,732.8345415472984
2009,733.0117328703402
2010,733.0918978929519
2011,733.213032862544
2012,733.0291857719421
2013,733.0173532962799
2014,732.783513996005
2015,732.7444668263197
2016,732.9185521245001
