AK,17.78788416836565
AL,17.74939794293273
AR,17.7242047997701
AZ,17.795885259318744
CA,17.79307947872933
CO,17.81012964515104
CT,17.798566882656676
FL,17.7920342217231
GA,17.78007271262825
HI,17.81708530334953
IA,17.744775333835307
ID,17.713322435347518
IL,17.804869145554576
IN,17.749499769887198
KS,17.75715455515454
KY,17.804552555102333
LA,17.74681386769424
MA,17.805733105383535
MD,17.816895010827356
ME,17.809684707090167
MI,17.82081600293375
MN,17.78284575821785
MO,17.80387627434336
MS,17.714423482287675
MT,17.789994298032056
NC,17.793402787757447
ND,17.786283666487904
NE,17.80711985703847
NH,17.778377814778587
NJ,17.78576358857879
NM,17.82420576423624
NV,17.80692519288976
NY,17.808027506937233
OH,17.771344026436793
OK,17.782353790469017
OR,17.772081677967435
PA,17.797250158404847
PR,17.774245142810884
RI,17.813065723401824
SC,17.784954564493553
SD,17.838495607858707
TN,17.7641542095463
TT,17.70286331619777
TX,17.793005629045116
UT,17.790164419481393
VA,17.783749667918986
VI,17.76390889843518
VT,17.8229828092399
WA,17.774451470648874
WI,17.819233406981
WV,17.748084749670248
WY,17.802816405579655
