AK,8535.352728134836
AL,8181.1324819912425
AR,5074.009916640889
AZ,43196.64202054481
CA,156670.76272750887
CO,44968.707360675246
CT,6901.4451456750885
FL,88277.66757866653
GA,79312.48884864616
HI,14982.392783066785
IA,3932.413768819683
ID,4744.635314118886
IL,85407.10312663132
IN,11478.656626191183
KS,3114.4600168803236
KY,21243.078712078466
LA,11469.911669167333
MA,25956.568958744003
MD,18750.28501577313
ME,2307.031917738514
MI,31956.992450566748
MN,28778.356049096623
MO,30823.15594083116
MS,2951.07904455428
MT,2792.9719767991464
NC,41097.73042613833
ND,2291.9543509862415
NE,4933.684603568825
NH,2135.824380726581
NJ,28434.309905913655
NM,7565.511112100913
NV,34868.72925670873
NY,57189.519508455865
OH,22472.151472585843
OK,8533.400818458855
OR,14261.602369903887
PA,38496.693124897116
PR,4763.339839953146
RI,4109.76636828594
SC,8375.095623099996
SD,2470.3937670932405
TN,28572.566845144185
TT,162.5127775404946
TX,145802.56522331154
UT,23812.625650928036
VA,44766.3082219258
VI,985.0954776729984
VT,987.6585890676306
WA,22175.45359053846
WI,8883.684049009831
WV,655.3518873201291
WY,1152.4548548061491
