DH                                                                                                  	1205.7980717938021
DL                                                                                                  	1205.7636013090016
EV                                                                                                  	1205.7703432404824
F9                                                                                                  	1205.7519889709047
TW                                                                                                  	1205.7626700620897
MQ                                                                                                  	1205.7745441132388
FL                                                                                                  	1205.7681176309625
TZ                                                                                                  	1205.7819823736224
UA                                                                                                  	1205.7686619985975
NK                                                                                                  	1205.7334790611844
US                                                                                                  	1205.771572921733
NW                                                                                                  	1205.7574051504428
9E                                                                                                  	1205.7539836890971
HA                                                                                                  	1205.7299955066796
AA                                                                                                  	1205.7741841694349
OO                                                                                                  	1205.7613533627632
VX                                                                                                  	1205.7946157618496
HP                                                                                                  	1205.753486725933
AQ                                                                                                  	1205.8103658185216
AS                                                                                                  	1205.7760538956281
B6                                                                                                  	1205.7523590921862
WN                                                                                                  	1205.7663085493061
XE                                                                                                  	1205.769623549561
CO                                                                                                  	1205.7719946324141
OH (1)                                                                                              	1205.7528897164073
YV                                                                                                  	1205.7593955598982
