DH,2826231.858331272
DL,67025151.56158249
EV,23680875.94238862
F9,4198641.103508065
TW,7624087.323348481
MQ,27496328.306532167
FL,10221785.83247657
TZ,856820.2212132578
UA,50729352.90715164
NK,1060251.4940799163
US,44406011.30517969
NW,29296316.988247067
9E,5434420.518052833
HA,3538729.956825508
AA,58973882.321711786
OO,32035321.075930346
VX,1259154.6535368334
HP,9061259.610670777
AQ,635780.4275614518
AS,13857917.4758159
B6,11017636.1953688
WN,92826692.03067178
XE,14003154.391980367
CO,23422575.615051344
OH (1),7033373.40988749
YV,6859749.914337738
