1	457226.2768
104	405751.5339
13	388529.5963
20	378233.5916
10	482362.5871
14	349119.1571
106	437674.7441
22	407197.2467
100	480287.8141
16	373053.7481
109	437018.0145
25	414688.1275
103	435647.1721
19	385291.4082
26	424653.3976
110	421010.3673
31	423610.7123
2	409135.1326
28	420760.709
112	410543.2919
32	399486.2245
4	385112.0408
34	409186.4633
49	412454.9935
58	426581.2082
40	380115.0586
37	417026.0456
50	418640.7937
61	432925.7874
43	368148.693
38	434859.7072
52	425376.1956
62	433388.0493
44	355795.3015
68	373914.9378
55	410409.4351
64	413264.8144
7	313994.0377
46	365760.6948
56	424262.6975
67	423526.1813
70	304047.3802
76	401955.3024
85	437122.1373
94	401392.9309
73	342327.5822
79	431407.5018
86	407820.0605
97	398212.8632
74	387032.228
8	425018.5729
88	461860.7995
98	391864.8354
80	425639.384
91	442442.1233
82	399904.2749
92	441417.1602
