26	446000.0543
1	447337.0136
55	448471.4531
28	450613.9207
2	444406.6716
82	450006.8323
56	447041.6397
31	449892.7296
4	450684.343
85	450824.5752
58	450030.7653
32	450872.0834
7	451617.6353
86	446722.6157
61	449622.3961
34	449959.3704
8	449754.596
88	450363.7861
62	446527.1475
37	448187.8679
10	449348.9463
91	449185.4373
64	448524.2159
38	450671.397
13	448157.2877
92	452493.3497
67	446449.3544
40	450825.6698
14	445084.4052
94	448777.6442
68	447467.4506
43	449739.3615
16	450232.8054
97	450997.8895
70	450684.7782
19	452708.337
44	453121.1279
98	449601.6593
73	448791.7258
20	453431.8381
46	446949.2188
100	448049.9273
74	447567.9552
22	446988.8695
49	448611.3757
103	447111.541
76	446616.9375
25	447957.7501
50	451212.1849
104	447553.9995
79	444648.2852
52	445948.1026
106	448482.5857
80	450658.5834
109	447420.794
110	444418.0524
112	451785.8212
